FireShape_FireNumber,FireShape_Year,FireShape_Spread1,FireShape_Spread2,FireShape_Spread3,FireShape_Spread4,SIZE_CLASS,FIRE_ORIGIN,GENERAL_CAUSE,FIRE_TYPE,FIRE_POSITION_ON_SLOPE,WEATHER_CONDITIONS_OVER_FIRE,TEMPERATURE,RELATIVE_HUMIDITY,WIND_DIRECTION,WIND_SPEED,INITIAL_ACTION_BY
CWF001,2009,297.0423931,26.26449066,194.4661459,101.8131019,C,Provincial Land,Recreation,Ground,Upper 1/3,Rainshowers,4,70,W,5,FPD Staff
CWF001,2016,181.4541392,79.56377705,131.8544466,63.14567893,B,Provincial Land,Incendiary,Surface,Middle 1/3,CB Dry,16,26,W,21,HAC
CWF002,2009,166.3043289,116.7286234,84.76209707,154.5555047,B,Provincial Land,Recreation,Surface,Upper 1/3,Clear,8,35,W,10,HAC1H
CWF002,2011,887.5707565,294.0369782,611.5942474,266.2263014,D,Private Land,Railroad,Surface,Flat,Clear,20,18,SW,27,FPD Staff
CWF003,2009,195.7470443,63.82666042,157.8906538,58.33986051,B,Provincial Land,Prescribed Fire,Surface,Middle 1/3,Clear,14,20,W,5,FPD Staff
CWF004,2014,202.9794313,52.76616578,132.094468,88.7008588,B,Indian Reservation,Resident,Surface,Flat,Clear,12,24,W,42,HAC
CWF004,2018,220.4544237,83.93348245,136.5457823,96.77490973,C,Private Land,Resident,Surface,Flat,Clear,21,18,SW,15,Fire Department
CWF005,2010,405.6314608,84.22346765,339.4050191,83.86490152,C,Indian Reservation,Incendiary,Surface,Flat,Clear,-3,60,W,20,Fire Department
CWF006,2012,491.1883183,54.18770952,486.9306625,96.93174446,C,Provincial Land,Resident,Surface,Middle 1/3,Clear,10,45,N,15,Fire Department
CWF006,2016,325.0415716,55.41872926,227.5632889,58.72632032,C,Indian Reservation,Resident,Surface,Middle 1/3,Cloudy,12,26,SW,20,Land Owner
CWF006,2018,342.5127756,64.22996753,257.4759017,76.26172587,C,Provincial Land,Undetermined,Surface,Lower 1/3,Clear,24,32,E,40,HAC
CWF007,2012,291.2934432,12.11520626,227.7929082,13.3391525,B,Provincial Land,Resident,Surface,Flat,Cloudy,12,45,W,5,Fire Department
CWF009,2021,562.3699673,125.0323008,244.748155,175.9891994,C,Provincial Land,Recreation,Surface,Middle 1/3,Clear,12,38,SW,25,Fire Department
CWF010,2019,196.7740508,137.8766354,160.3976341,128.0923854,C,Indian Reservation,Incendiary,Ground,Middle 1/3,Clear,6,26,W,6,Public
CWF011,2016,317.1810842,240.090218,261.6203402,274.0394435,C,Provincial Land,Incendiary,Surface,Flat,Cloudy,12,26,N,24,HAC
CWF012,2016,169.0344058,93.68240411,145.1958781,93.01163755,C,Provincial Land,Incendiary,Surface,Flat,Cloudy,12,29,E,15,Fire Department
CWF012,2025,117.4767971,74.68554408,92.40139397,72.64033105,B,Private Land,Resident,Surface,Flat,Clear,23,18,S,10,HAC
CWF013,2018,368.1463257,106.8645977,277.8443824,37.39826554,C,Provincial Land,Recreation,Surface,Bottom,CB Dry,25,33,SW,5,HAC
CWF013,2021,141.8575225,35.78668304,78.33804436,17.938209,B,Provincial Land,Recreation,Surface,Upper 1/3,CB Dry,19,15,S,12,HAC
CWF014,2018,77.72782916,54.69718915,67.02797732,45.37882763,B,Indian Reservation,Resident,Surface,Flat,Clear,22,25,W,6,Fire Department
CWF014,2019,232.522114,,166.7942664,72.97449075,B,Provincial Land,Recreation,Ground,Middle 1/3,Clear,14,21,W,10,HAC
CWF015,2018,684.90688,76.00568659,499.6794217,68.64698703,C,Private Land,Railroad,Surface,Middle 1/3,Cloudy,12,55,W,12,Fire Department
CWF016,2010,312.6667232,30.93424891,227.4518539,16.95512624,C,Indian Reservation,Incendiary,Ground,Flat,Cloudy,4,24,W,15,HAC1H
CWF016,2012,172.4627294,100.2004921,107.0025047,97.60864374,B,Private Land,Resident,Surface,Middle 1/3,Cloudy,12,37,W,15,Fire Department
CWF016,2018,54.37440341,14.63135013,38.80504062,14.62655302,A,Private Land,Railroad,Surface,Bottom,Clear,6,35,E,15,FPD Staff
CWF017,2018,61.10129263,14.19016832,45.92883259,21.46167964,B,Private Land,Railroad,Ground,Bottom,Cloudy,9,72,W,5,Fire Department
CWF017,2019,97.60190002,42.73891708,59.10223797,48.39336068,B,Provincial Land,Incendiary,Surface,Lower 1/3,Cloudy,8,38,NE,14,Fire Department
CWF018,2019,610.9132261,173.8177147,503.0275842,178.3545991,C,Provincial Land,Power Line Industry,Surface,Flat,Clear,18,25,W,12,Fire Department
CWF022,2013,,28.78595277,78.16353355,23.91609376,B,Private Land,Undetermined,Surface,Flat,Clear,15,40,E,10,Fire Department
CWF037,2024,264.0630602,104.5386314,172.0887513,83.85868539,C,Provincial Land,Under Investigation,Surface,Bottom,Cloudy,3,65,W,8,FPD Staff
CWF043,2019,107.4820218,65.68069935,76.14663609,57.53514644,B,Provincial Land,Lightning,Crown,Upper 1/3,Clear,23,33,S,8,HAC
CWF043,2022,239.9012404,80.24638586,205.2172059,72.20020899,C,Provincial Land,Undetermined,Ground,Flat,Clear,6,30,W,7,HAC
CWF044,2019,113.7842827,58.02011064,53.45507088,39.2061252,B,Private Land,Recreation,Surface,Flat,Clear,23,30,W,5,FPD Staff
CWF060,2018,394.4378873,143.587554,296.0657477,102.8037341,C,Provincial Land,Undetermined,Surface,Bottom,Clear,29,17,E,8,HAC
CWF061,2021,74.04466011,48.72215503,55.66291047,,B,Indian Reservation,Undetermined,Surface,Flat,Clear,19.5,27,SW,25,FPD Staff
CWF065,2018,140.8256335,46.25007558,112.292449,32.47514376,B,Provincial Land,Lightning,Ground,Upper 1/3,CB Wet,10,100,S,8,HAC
CWF065,2021,128.4746948,28.77573431,103.5261279,27.75938711,B,Provincial Park,Lightning,Surface,Upper 1/3,Clear,29,38,SW,5,FTAC
CWF070,2022,161.9306535,96.77601744,128.2264757,92.18344429,C,Provincial Land,Incendiary,Surface,Lower 1/3,Clear,19,21,SW,25,Fire Department
CWF090,2021,271.5464942,109.1388615,120.3837247,113.2833218,C,Provincial Park,Undetermined,Surface,Lower 1/3,Clear,24,21,W,9,FPD Staff
CWF096,2018,224.2816247,79.24857133,128.6651096,96.37611311,C,Provincial Land,Lightning,Surface,Middle 1/3,Clear,24,30,SW,15,FPD Staff
CWF108,2021,363.071536,48.69133501,359.0079831,65.83363227,C,Provincial Land,Resident,Surface,Bottom,Clear,32,16,W,6,HAC
CWF113,2016,87.75089387,47.25293402,75.53657519,48.21400925,B,Provincial Land,Lightning,Surface,Upper 1/3,Clear,10,50,E,10,FPD Staff
CWF116,2018,563.77814,100.7965763,399.3204603,91.79716773,C,Provincial Land,Incendiary,Surface,Lower 1/3,Clear,39,14,NW,10,Fire Department
CWF119,2009,169.9158188,109.0496819,134.1958707,96.51475349,C,Indian Reservation,Resident,Surface,Flat,Clear,22,20,NE,25,Fire Department
CWF149,2011,354.4324744,18.2349189,304.4625267,85.31732096,C,Provincial Land,Recreation,Crown,Flat,Clear,23,25,S,5,HAC1H
CWF159,2021,226.9342037,110.7695008,176.1655334,147.3147218,C,Provincial Land,Undetermined,Ground,Upper 1/3,Clear,4,30,W,5,FPD Staff
CWF161,2015,32.29161842,20.71433767,26.26944069,22.37385348,A,Provincial Land,Recreation,,,,,,,,FPD Staff
CWF170,2021,572.807451,289.7308463,415.8508762,204.2912837,C,Provincial Land,Undetermined,,,,,,,,Fire Department
CWF199,2020,207.8360191,52.06093098,188.5232427,52.97540025,B,Indian Reservation,Resident,Surface,Bottom,Clear,18,50,W,20,FPD Staff
CWF200,2015,170.4035766,81.89974105,133.3770416,71.41150535,B,Provincial Land,Incendiary,Surface,Middle 1/3,Clear,4,45,SE,10,Fire Department
CWF202,2015,390.4614647,134.0912535,220.3953032,64.82057137,C,Indian Reservation,Incendiary,Ground,Flat,Clear,8,50,W,15,FPD Staff
CWF207,2020,473.6610601,113.6918495,388.1004633,135.6617345,C,Indian Reservation,Incendiary,Surface,Flat,Clear,9,25,W,22,HAC
CWF209,2015,241.3951584,48.63320276,170.7183409,54.90045257,B,Provincial Land,Recreation,Surface,Bottom,Clear,2,60,SE,10,FPD Staff
CWF217,2020,179.9421842,32.71575521,97.73220007,18.59155127,B,Indian Reservation,Resident,Surface,Bottom,Clear,9,35,W,20,FPD Staff
CWF218,2015,239.0304159,11.95945996,152.8711379,13.07651315,B,Indian Reservation,Incendiary,Surface,Flat,Cloudy,3,34,W,11,Fire Department
CWF219,2015,113.7236944,70.67399661,102.7242219,70.75658755,B,Indian Reservation,Resident,Surface,Upper 1/3,Clear,10,35,SW,10,Fire Department
CWF224,2007,206.1453254,47.90184606,108.5957267,28.05308683,B,Indian Reservation,Incendiary,Surface,Flat,Clear,4,55,W,30,Fire Department
CWF226,2006,194.0880494,91.40093775,151.4023418,68.70557864,B,Indian Reservation,Resident,Surface,Flat,Clear,11,30,W,20,Fire Department
CWF229,2011,243.5625003,84.43644747,145.2621148,79.36633916,C,Indian Reservation,Incendiary,Surface,Upper 1/3,Clear,15,40,W,30,Fire Department
CWF230,2007,500.0494881,152.8436135,482.7540762,191.721787,C,Private Land,Resident,Surface,Lower 1/3,Cloudy,5,35,W,15,Fire Department
CWF231,2015,122.4576278,26.93168623,81.30567297,27.30679043,B,Indian Reservation,Incendiary,Surface,Flat,Cloudy,7,45,W,10,Fire Department
CWF231,2016,356.1821006,82.84573162,286.6302043,85.17867539,C,Indian Reservation,Incendiary,Surface,Flat,Cloudy,0,40,E,5,FPD Staff
CWF232,2007,223.0490916,43.82504368,123.1866408,36.09341995,B,Indian Reservation,Railroad,Surface,Lower 1/3,Cloudy,6,45,W,15,Fire Department
CWF232,2011,117.939891,65.52469671,99.8859929,39.05238981,B,Indian Reservation,Incendiary,Surface,Flat,Clear,1,25,W,10,Fire Department
CWF233,2007,288.0183191,102.126516,149.4111287,37.90892346,C,Indian Reservation,Resident,Ground,Flat,Clear,0,60,CLM,0,Fire Department
CWF233,2016,165.0120723,64.84416948,125.3550074,53.33889892,B,Indian Reservation,Incendiary,Surface,Upper 1/3,Cloudy,10,53,SW,5,HAC
CWF235,2007,174.2086165,61.88308228,155.296602,65.31792885,B,Indian Reservation,Resident,Surface,Flat,Cloudy,2,60,NE,10,WFC2
CWF240,2011,1374.134907,441.827861,1118.412489,343.9313967,D,Indian Reservation,Incendiary,Surface,Flat,Cloudy,6,30,W,30,Fire Department
CWF240,2017,198.5598766,45.94972482,180.3796016,39.00453716,B,Indian Reservation,Resident,Surface,Flat,Cloudy,28,18,W,5,Land Owner
CWF241,2017,109.404927,23.2506819,82.86557991,14.75985604,B,Indian Reservation,Incendiary,Surface,Flat,Cloudy,25,25,W,15,Fire Department
CWF247,2009,148.7614792,62.9417579,93.80563682,84.98404199,B,Private Land,Resident,Surface,Bottom,Cloudy,13,27,SW,3,Fire Department
CWF250,2009,133.2751452,104.2415259,124.7326042,58.65320884,B,Provincial Land,Undetermined,Surface,Flat,Cloudy,8,45,NE,8,Fire Department
CWF254,2017,1382.109166,18.25495933,1220.747192,238.6722759,D,Private Land,Power Line Industry,Crown,Lower 1/3,Cloudy,16,40,W,50,FPD Staff
CWF257,2017,86.47950026,17.41110451,166.413203,32.96624299,B,Private Land,Power Line Industry,Surface,Lower 1/3,Cloudy,13,29,E,35,Fire Department
CWF258,2009,314.2211872,27.80898608,230.2925793,17.24154976,B,Indian Reservation,Recreation,Ground,Lower 1/3,Clear,3,22,CLM,0,Fire Department
CWF258,2017,4041.474432,1580.517891,2847.431454,2564.361878,E,Provincial Land,Power Line Industry,Surface,Bottom,Clear,12,35,W,20,HAC
CWF265,2017,230.359281,125.0529105,172.7715935,131.7453254,C,Provincial Land,Recreation,Surface,Upper 1/3,Clear,17,9,NW,15,HAC
CWF314,2010,364.4071385,71.48083036,252.9190716,102.1926151,C,Provincial Land,Other Industry,Surface,Flat,Clear,-7,50,W,20,Fire Department
CWF322,2014,205.5449574,39.33603799,170.821515,38.28257409,A,Indian Reservation,Resident,Surface,Flat,Clear,16,41,W,30,Fire Department
CWF325,2014,112.7995455,3.837691745,100.4228919,28.38416551,B,Indian Reservation,Resident,Surface,Middle 1/3,Cloudy,8,29,W,15,Fire Department
CWF396,2012,90.15918243,81.80822075,68.77959067,74.73752681,B,Provincial Land,Lightning,Surface,Upper 1/3,Clear,22,28,SW,15,RAP
CWF403,2012,339.4735108,228.5162409,268.8186968,262.3566546,C,Private Land,Power Line Industry,Surface,Lower 1/3,Cloudy,10,65,W,14,Fire Department
CWF408,2012,122.8954352,49.86872915,83.73662275,37.61171954,B,Provincial Land,Recreation,Surface,Flat,Clear,9,35,S,10,Fire Department
EWF001,2007,166.2761842,47.64186273,125.3837081,31.48263449,B,Private Land,Resident,Surface,Flat,Clear,15,30,W,40,Fire Department
EWF001,2024,214.2503686,115.3106718,126.3581385,145.3151314,C,Provincial Land,Forest Industry,Surface,Middle 1/3,Clear,7.9,35,W,45,Industry
EWF003,2015,184.2518682,58.52866212,121.4836449,96.86794095,B,Private Land,Resident,Surface,Flat,Clear,19,28,E,9,Industry
EWF004,2010,842.0947922,463.4132764,545.7529834,435.7338103,D,Provincial Land,Other Industry,Surface,Flat,Cloudy,12,15,S,3,FPD Staff
EWF004,2019,163.8128256,41.04270437,121.570051,46.96445391,B,Private Land,Resident,Surface,Flat,Cloudy,14,21,NW,16,Fire Department
EWF005,2014,345.1655012,227.3890378,133.982064,123.1077582,C,Private Land,Agriculture Industry,Surface,Middle 1/3,Clear,12,56,NW,20,Land Owner
EWF006,2021,99.1443298,45.08179463,80.42821444,45.98741452,B,Provincial Land,Government,Surface,Middle 1/3,Clear,8,38,W,10,Industry
EWF007,2007,249.3056002,39.34556019,79.93446331,56.95821454,B,Provincial Land,Power Line Industry,Surface,Flat,CB Dry,12,17,W,2,HAC1H
EWF007,2021,351.4008966,112.5090923,205.7928592,59.98541577,C,Private Land,Resident,Surface,Flat,Clear,14,19,S,10,Land Owner
EWF008,2016,207.0459131,25.0536589,108.2657519,21.14696231,B,Provincial Land,Undetermined,Surface,Flat,Clear,9,42,W,20,Fire Department
EWF009,2013,257.1037037,20.96914949,216.2031313,30.09126346,B,Provincial Land,Recreation,Surface,Flat,Clear,22,34,W,5,HAC
EWF009,2018,600.686423,47.60674173,421.204642,45.24523246,C,Provincial Land,Undetermined,Surface,Flat,Clear,20,40,W,10,Air Tanker
EWF009,2025,377.1442731,44.35330973,285.2400173,36.04687575,C,Provincial Land,Power Line Industry,Surface,Flat,Clear,21,41,S,6,Fire Department
EWF011,2007,210.7826901,55.6920932,153.9932384,36.57603472,B,Provincial Land,Oil & Gas Industry,Surface,Flat,Clear,25,25,SW,15,Industry
EWF012,2012,499.887424,83.02503869,328.4049405,106.2237337,C,Provincial Land,Resident,Surface,Flat,Cloudy,15.4,27,NW,10,FPD Staff
EWF012,2022,386.0441491,25.05896942,186.5801564,172.8266121,C,Provincial Land,Forest Industry,Surface,Flat,Cloudy,9.7,31,W,14,Industry
EWF012,2025,271.6800819,,101.926675,132.1284082,B,Provincial Land,Oil & Gas Industry,Surface,Flat,Clear,16,27,SW,16,UNIT
EWF013,2014,189.787984,70.70811325,131.1316478,63.03322649,B,Provincial Land,Undetermined,Surface,Flat,CB Dry,22,19,SE,5,RAP
EWF013,2015,209.0451519,75.23936761,164.3032655,81.52439915,C,Provincial Land,Oil & Gas Industry,Surface,Flat,Cloudy,20,15,SE,10,RAP
EWF013,2025,165.2425338,41.31910476,111.6370334,,B,Provincial Land,Undetermined,Surface,Flat,Clear,17,35,NW,3,HAC
EWF014,2006,64.59663522,22.54831613,52.06888692,26.07656947,B,Private Land,Resident,Surface,Flat,Clear,10,68,S,9,Fire Department
EWF014,2009,,76.34980974,230.3813491,67.1461822,C,Provincial Land,Power Line Industry,Surface,Flat,Clear,4,53,W,10,Fire Department
EWF014,2021,272.9881657,36.6437078,194.3556258,115.4933472,C,Private Land,Resident,Surface,Flat,Cloudy,12.8,19,W,27,Fire Department
EWF015,2011,257.0236952,140.340166,232.8022966,153.489494,C,Private Land,Resident,Surface,Flat,Clear,21,29,E,5,HAC1H
EWF015,2015,4448.949154,817.6892691,3064.941596,890.7789009,E,Provincial Land,Incendiary,Crown,Flat,Clear,18,26,SE,31,HAC
EWF015,2019,125.2110048,46.59739598,99.00260916,57.33255575,B,Provincial Land,Undetermined,Surface,Flat,Cloudy,12,33,W,15,Industry
